X,Y,GIS_NUMBER,PERMIT_NUM,OUTFALL,NPDES_NUM,PERMITTEE,STATUS,DTYPE,INITIALS,COUNTY,LAT_DD,LONG_DD,SEGMENT,BASIN,REGION,HORZ_METH,HORZ_ACC,HORZ_REF,HORZ_DATE,HORZ_ORG,HORZ_DATUM,HORZ_DESC,UTM_ZONE
-95.85648,29.529494999,10607-004.001,10607-004,001,0125512,CITY OF ROSENBERG,C,D,NLV,FORT BEND,29.52949500,-95.85648000,1202,12,12,DRG,12.00000000,other,20080102,TCEQ,NAD83,End of pipe as indicated on paper map,15
-95.185245002999977,29.826237998000011,10608-002.001,10608-002,001,0062952,ROYALWOOD MUD,C,D,NLV,HARRIS,29.82623800,-95.18524500,1006,10,12,DRG,12.00000000,other,20071120,TCEQ,NAD83,End of pipe as indicated on paper map,15
-95.046194808999985,32.103315005000013,02973-000.007,02973-000,007,0104175,UNIMIN CORP,C,M,LLF,CHEROKEE,32.10331501,-95.04619481,0611,06,05,DRG,12.00000000,other,20120807,TCEQ,NAD83,End of pipe as indicated on paper map,15
-95.060174986999982,32.111345745999984,02973-000.002,02973-000,002,0104175,UNIMIN CORP,C,M,LLF,CHEROKEE,32.11134575,-95.06017499,0611,06,05,DRG,12.00000000,other,20120807,TCEQ,NAD83,End of pipe as indicated on paper map,15
-97.419389615,32.450649989,14556-001.001,14556-001,001,0125954,CREEK PARK CORP,P,W,NLV,JOHNSON,32.45064999,-97.41938962,1227,12,04,DRG,12.00000000,other,20121012,TCEQ,NAD83,End of pipe as indicated on paper map,14
-95.060424029999979,32.125227205999977,02973-000.006,02973-000,006,0104175,UNIMIN CORP,C,M,LLF,CHEROKEE,32.12522721,-95.06042403,0611,06,05,DOQQ,5.00000000,other,20120807,TCEQ,NAD83,End of pipe as indicated on paper map,15
-96.889504159000012,32.050722232,15055-001.001,15055-001,001,0133761,CITY OF MERTENS,P,D,NLV,HILL,32.05072223,-96.88950416,0817,08,09,DRG,12.00000000,other,20121012,TCEQ,NAD83,End of pipe as indicated on paper map,14
-97.800035331,29.995424646,14060-001.001,14060-001,001,0117676,AUS-TEX PARTS & SERVICE LTD,C,D,KNS,HAYS,29.99542465,-97.80003533,1810,18,11,DRG,12.00000000,other,20091222,TCEQ,NAD83,End of pipe as indicated on paper map,14
-97.529502072000014,30.326855815999977,14061-001.001,14061-001,001,0117315,AQUA DEVELOPMENT INC,C,D,KNS,TRAVIS,30.32685582,-97.52950207,1434,14,11,DRG,12.00000000,other,20090513,TCEQ,NAD83,End of pipe as indicated on paper map,14
-95.552681001,29.595836002,14064-001.001,14064-001,001,0117358,STAFFORD MOBILE HOME PARK INC,C,D,KNS,FORT BEND,29.59583600,-95.55268100,1245,12,12,DRG,12.00000000,other,20041007,TCEQ,NAD83,End of pipe as indicated on paper map,15
-95.264004996999972,29.329073001999973,14068-001.001,14068-001,001,0117927,RICETEC INC,C,D,NLV,BRAZORIA,29.32907300,-95.26400500,1108,11,12,DRG,12.00000000,other,20080513,TCEQ,NAD83,End of pipe as indicated on paper map,15
-97.164125001,33.35468000100002,14372-001.001,14372-001,001,0022403,CITY OF SANGER,C,D,GMW,DENTON,33.35468000,-97.16412500,0823,08,04,DRG,12.00000000,other,20100427,TCEQ,NAD83,End of pipe as indicated on paper map,14
-95.38137199900001,29.880561003000025,14217-001.001,14217-001,001,0123579,"KARBALAI, LAURA REDOW",C,D,KNS,HARRIS,29.88056100,-95.38137200,1006,10,12,DRG,12.00000000,other,20071217,TCEQ,NAD83,End of pipe as indicated on paper map,15
-95.653357998999979,30.183841001000019,14218-001.001,14218-001,001,0123587,DIOCESE OF GALVESTON-HOUSTON,C,D,NLV,MONTGOMERY,30.18384100,-95.65335800,1008,10,12,DRG,12.00000000,other,20080415,TCEQ,NAD83,End of pipe as indicated on paper map,15
-95.826027001,29.420234001999972,14219-001.001,14219-001,001,0123595,AQUA DEVELOPMENT CO,C,D,NLV,FORT BEND,29.42023400,-95.82602700,1202,12,12,DRG,12.00000000,other,20081017,TCEQ,NAD83,End of pipe as indicated on paper map,15
-95.652777001,32.876229997,14220-001.001,14220-001,001,0123609,BRIGHT STAR-SALEM SPECIAL UD,C,D,NLV,WOOD,32.87623000,-95.65277700,0512,05,05,DOQQ,5.00000000,other,20101027,TCEQ,NAD83,End of pipe as indicated on paper map,15
-95.432798299000012,29.496440154000027,14222-001.001,14222-001,001,0123633,BRAZORIA COUNTY MUD 21,C,D,JMB,BRAZORIA,29.49644015,-95.43279830,1108,11,12,DRG,12.00000000,other,20140429,TCEQ,NAD83,End of pipe as indicated on paper map,15
-97.306103001,30.197714002999987,14223-001.001,14223-001,001,0119946,AQUA WSC,C,D,KNS,BASTROP,30.19771400,-97.30610300,1434,14,11,DRG,12.00000000,other,20090423,TCEQ,NAD83,End of pipe as indicated on paper map,14
-97.313314901000012,30.321996394,14224-001.001,14224-001,001,0119954,AQUA WSC,C,D,NLV,BASTROP,30.32199639,-97.31331490,1434,14,11,DRG,12.00000000,other,20100903,TCEQ,NAD83,End of pipe as indicated on paper map,14
-97.343836001999989,30.294143997999981,14225-001.001,14225-001,001,0119962,AQUA WSC,C,W,NLV,BASTROP,30.29414400,-97.34383600,1434,14,11,DRG,12.00000000,other,20130410,TCEQ,NAD83,End of pipe as indicated on paper map,14
-95.438532295000016,32.191679651000015,13849-001.001,13849-001,001,0134252,ALGONQUIN WATER RESOURCES OF TEXAS LLC,P,D,NLV,SMITH,32.19167965,-95.43853230,0605,06,05,DRG,12.00000000,other,20130304,TCEQ,NAD83,End of pipe as indicated on paper map,15
-97.510741998000015,27.715722001000017,14228-001.001,14228-001,001,0123676,MPB PROPERTIES LLC AND CORPUS CHRISTI BAPTIST CHURCH,C,D,NLV,NUECES,27.71572200,-97.51074200,2485,22,14,DRG,12.00000000,other,20100305,TCEQ,NAD83,End of pipe as indicated on paper map,14
-95.94872514799999,29.748060526000017,14230-001.001,14230-001,001,0123714,B & B INVESTMENTS INC,C,D,KNS,WALLER,29.74806053,-95.94872515,1202,12,12,DRG,12.00000000,other,20090813,TCEQ,NAD83,End of pipe as indicated on paper map,15
-95.72361111399999,29.690833349,14231-001.001,14231-001,001,0123749,GRAND MISSION MUD 1,C,W,JMB,FORT BEND,29.69083335,-95.72361111,1014,10,12,DRG,12.00000000,other,20150313,TCEQ,NAD83,End of pipe as indicated on paper map,15
-97.059353002000023,31.267833997000025,10811-001.001,10811-001,001,0053520,CHILTON WATER SUPPLY & SEWER SERVICE CORP,C,D,KNS,FALLS,31.26783400,-97.05935300,1242,12,09,DRG,12.00000000,other,20070221,TCEQ,NAD83,End of pipe as indicated on paper map,14
-95.333024998999974,29.899167001000023,10812-001.001,10812-001,001,0021270,SUNBELT FWSD,C,D,NLV,HARRIS,29.89916700,-95.33302500,1006,10,12,DRG,12.00000000,other,20071120,TCEQ,NAD83,End of pipe as indicated on paper map,15
-96.682731003000015,30.531072999,10813-001.001,10813-001,001,0023175,CITY OF CALDWELL,C,D,GMW,BURLESON,30.53107300,-96.68273100,1211,12,09,DRG,12.00000000,other,20110120,TCEQ,NAD83,End of pipe as indicated on paper map,14
-94.231203001999972,31.942526,10818-001.001,10818-001,001,0069086,CITY OF TENAHA,C,D,GMW,SHELBY,31.94252600,-94.23120300,0504,05,10,DRG,12.00000000,other,20100420,TCEQ,NAD83,End of pipe as indicated on paper map,15
-97.402957999000023,32.150279,10820-001.001,10820-001,001,0024031,CITY OF BLUM,C,D,NLV,HILL,32.15027900,-97.40295800,1227,12,09,DRG,12.00000000,other,20080820,TCEQ,NAD83,End of pipe as indicated on paper map,14
-96.70701500199999,28.412471,10822-001.001,10822-001,001,0026671,CITY OF SEADRIFT,C,D,GMW,CALHOUN,28.41247100,-96.70701500,2462,17,14,DRG,12.00000000,other,20100104,TCEQ,NAD83,End of pipe as indicated on paper map,14
-95.889175706,31.782278088999988,10823-001.001,10823-001,001,0031577,TEXAS DEPT OF CRIMINAL JUSTICE,C,W,NLV,ANDERSON,31.78227809,-95.88917571,0804,08,05,DRG,12.00000000,other,20110914,TCEQ,NAD83,End of pipe as indicated on paper map,15
-96.581367999,31.401841998,10824-001.001,10824-001,001,0075639,CITY OF THORNTON,C,D,KNS,LIMESTONE,31.40184200,-96.58136800,1209,12,09,DRG,12.00000000,other,20090526,TCEQ,NAD83,End of pipe as indicated on paper map,14
-95.397202003000018,29.902490999,10825-001.001,10825-001,001,0032255,ALDINE COMMUNITY CARE CENTER INC,C,D,KNS,HARRIS,29.90249100,-95.39720200,1006,10,12,DRG,12.00000000,other,20080609,TCEQ,NAD83,End of pipe as indicated on paper map,15
-95.476452001999974,29.091727999,10829-001.001,10829-001,001,0031658,TEXAS DEPT OF CRIMINAL JUSTICE,C,D,KNS,BRAZORIA,29.09172800,-95.47645200,1110,11,12,DRG,12.00000000,other,20080324,TCEQ,NAD83,End of pipe as indicated on paper map,15
